央视频道-电信,#genre#
CCTV1,rtsp://115.153.254.117/PLTV/88888888/224/3221225699/iptv8040.smil
CCTV1,rtsp://115.153.254.117/PLTV/88888888/224/3221225517/iptv7949.smil
CCTV2,rtsp://115.153.254.117/PLTV/88888888/224/3221226825/59814584.smil
CCTV3,rtsp://115.153.254.117/PLTV/88888888/224/3221226930/65406412.smil
CCTV3,rtsp://115.153.254.117/PLTV/88888888/224/3221226841/63329606.smil
CCTV4,rtsp://115.153.254.117/PLTV/88888888/224/3221226838/59814684.smil
CCTV4[美],rtsp://115.153.254.117/PLTV/88888888/224/3221226962/77799052.smil
CCTV4[欧],rtsp://115.153.254.117/PLTV/88888888/224/3221226964/77799053.smil
CCTV5,rtsp://115.153.254.117/PLTV/88888888/224/3221226907/65396401.smil
CCTV5,rtsp://115.153.254.117/PLTV/88888888/224/3221226852/63329574.smil
CCTV5+,rtsp://115.153.254.117/PLTV/88888888/224/3221226976/85722488.smil
CCTV6,rtsp://115.153.254.117/PLTV/88888888/224/3221226909/65396493.smil
CCTV6,rtsp://115.153.254.117/PLTV/88888888/224/3221226843/63329570.smil
CCTV7,rtsp://115.153.254.117/PLTV/88888888/224/3221226827/59814693.smil
CCTV8,rtsp://115.153.254.117/PLTV/88888888/224/3221226911/65406606.smil
CCTV8,rtsp://115.153.254.117/PLTV/88888888/224/3221226854/63329578.smil
CCTV9,rtsp://115.153.254.117/PLTV/88888888/224/3221226840/59814699.smil
CCTV10,rtsp://115.153.254.117/PLTV/88888888/224/3221226630/51813372.smil
CCTV11,rtsp://115.153.254.117/PLTV/88888888/224/3221226986/85722616.smil
CCTV12,rtsp://115.153.254.117/PLTV/88888888/224/3221226829/59814709.smil
CCTV13,rtsp://115.153.254.117/PLTV/88888888/224/3221227037/87447722.smil
CCTV14,rtsp://115.153.254.117/PLTV/88888888/224/3221226634/51813368.smil
CCTV15,rtsp://115.153.254.117/PLTV/88888888/224/3221226988/85722541.smil
CCTV16,rtsp://115.153.254.117/PLTV/88888888/224/3221227051/92603106.smil
CCTV16[4K],rtsp://115.153.254.117/PLTV/88888888/224/3221227051/92603106.smil
CCTV17,rtsp://115.153.254.117/PLTV/88888888/224/3221226846/61397282.smil
CCTV[4K],rtsp://115.153.254.117/PLTV/88888888/224/3221227073/106537394.smil
CCTV兵器科技,rtsp://115.153.254.117/PLTV/88888888/224/3221227004/86132185.smil
CCTV第一剧场,rtsp://115.153.254.117/PLTV/88888888/224/3221226961/86128891.smil
CCTV电视指南,rtsp://115.153.254.117/PLTV/88888888/224/3221226969/86129034.smil
CCTV风云剧场,rtsp://115.153.254.117/PLTV/88888888/224/3221226963/86128874.smil
CCTV风云音乐,rtsp://115.153.254.117/PLTV/88888888/224/3221226994/86128897.smil
CCTV风云足球,rtsp://115.153.254.117/PLTV/88888888/224/3221227000/86128919.smil
CCTV高尔夫网球,rtsp://115.153.254.117/PLTV/88888888/224/3221226967/86128985.smil
CCTV怀旧剧场,rtsp://115.153.254.117/PLTV/88888888/224/3221226996/86128881.smil
CCTV女性时尚,rtsp://115.153.254.117/PLTV/88888888/224/3221226998/86128978.smil
CCTV世界地理,rtsp://115.153.254.117/PLTV/88888888/224/3221226965/86128966.smil
CCTV央视精品,rtsp://115.153.254.117/PLTV/88888888/224/3221226957/86128679.smil
CCTV央视台球,rtsp://115.153.254.117/PLTV/88888888/224/3221226955/86106661.smil
CGTN-阿语,rtsp://115.153.254.117/PLTV/88888888/224/3221226951/77799001.smil
CGTN-俄语,rtsp://115.153.254.117/PLTV/88888888/224/3221226966/77798997.smil
CGTN-法语,rtsp://115.153.254.117/PLTV/88888888/224/3221226968/77799060.smil
CGTN-纪录,rtsp://115.153.254.117/PLTV/88888888/224/3221226960/77798993.smil
CGTN-西语,rtsp://115.153.254.117/PLTV/88888888/224/3221226949/77798970.smil
CGTN-英语,rtsp://115.153.254.117/PLTV/88888888/224/3221226947/77798966.smil
CGTN-英语,rtsp://115.153.254.117/PLTV/88888888/224/3221226694/55738457.smil

CCTV1,rtsp://115.153.230.145/PLTV/88888888/224/3221225517/iptv7949.smil
CCTV2,rtsp://115.153.254.81/PLTV/88888888/224/3221226825/59814584.smil
CCTV3,rtsp://115.153.230.145/PLTV/88888888/224/3221226841/63329606.smil
CCTV4,rtsp://115.153.254.81/PLTV/88888888/224/3221226838/59814684.smil
CCTV5,rtsp://115.153.230.145/PLTV/88888888/224/3221226852/63329574.smil
CCTV5+,rtsp://115.153.254.81/PLTV/88888888/224/3221226976/85722488.smil
CCTV6,rtsp://115.153.230.145/PLTV/88888888/224/3221226843/63329570.smil
CCTV7,rtsp://115.153.254.81/PLTV/88888888/224/3221226827/59814693.smil
CCTV8,rtsp://115.153.230.145/PLTV/88888888/224/3221226854/63329578.smil
CCTV9.rtsp://115.153.254.81/PLTV/88888888/224/3221226840/59814699.smil
CCTV10,rtsp://115.153.254.81/PLTV/88888888/224/3221226630/51813372.smil
CCTV11,rtsp://115.153.254.81/PLTV/88888888/224/3221226986/85722616.smil
CCTV12,rtsp://115.153.254.81/PLTV/88888888/224/3221226829/59814709.smil
CCTV13,rtsp://115.153.254.81/PLTV/88888888/224/3221227037/87447722.smil
