江西频道,#genre#
江西卫视,rtsp://115.153.254.81/PLTV/88888888/224/3221226656/46275837.smil
江西都市频道,rtsp://115.153.254.81/PLTV/88888888/224/3221227069/94448631.smil
江西经济生活,rtsp://115.153.254.81/PLTV/88888888/224/3221226946/70055407.smil
江西影视旅游,rtsp://115.153.254.81/PLTV/88888888/224/3221227071/98779894.smil
江西公共农业,rtsp://115.153.254.81/PLTV/88888888/224/3221226708/53213097.smil
江西少儿,rtsp://115.153.254.81/PLTV/88888888/224/3221226724/53707450.smil
江西新闻,rtsp://115.153.254.81/PLTV/88888888/224/3221226650/53190437.smil
江西移动电视,rtsp://115.153.254.81/PLTV/88888888/224/3221227070/96801473.smil
江西教育,rtsp://115.153.254.81/PLTV/88888888/224/3221226942/69552502.smil


江西卫视,http://zxrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221225746/index.m3u8?
江西都市频道,http://zxrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225584/10000100000000060000000000000162_0.smil/index.m3u8?
江西经济生活,http://zxrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226206/10000100000000060000000005219195_0.smil/index.m3u8?
江西影视旅游,http://zxrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226291/877949953.smil/index.m3u8?
江西公共农业,http://zxrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225578/10000100000000060000000000000030_0.smil/index.m3u8?
江西少儿,http://zxrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226194/10000100000000060000000004716224_0.smil/index.m3u8?
江西新闻,http://zxrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225615/10000100000000060000000000230385_0.smil/index.m3u8?
江西教育,http://zxrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226197/10000100000000060000000004898209_0.smil/index.m3u8?
江西汽摩,http://zxrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225506/10000100000000060000000000000104_0.smil/index.m3u8?


江西卫视,rtsp://115.153.230.145/PLTV/88888888/224/3221226656/46275837.smil
江西都市频道,rtsp://115.153.230.145/PLTV/88888888/224/3221227069/94448631.smil
江西经济生活,rtsp://115.153.230.145/PLTV/88888888/224/3221226946/70055407.smil
江西影视旅游,rtsp://115.153.230.145/PLTV/88888888/224/3221227071/98779894.smil
江西公共农业,rtsp://115.153.230.145/PLTV/88888888/224/3221226708/53213097.smil
江西少儿,rtsp://115.153.230.145/PLTV/88888888/224/3221226938/68733921.smil
江西新闻,rtsp://115.153.230.145/PLTV/88888888/224/3221226650/53190437.smil
江西移动电视,rtsp://115.153.230.145/PLTV/88888888/224/3221227070/96801473.smil
江西教育频道,rtsp://115.153.230.145/PLTV/88888888/224/3221226942/69552502.smil
风尚购物,rtsp://115.153.230.145/PLTV/88888888/224/3221227049/90141188.smil


江西卫视,http://116.162.6.191/yun-live.jxtvcn.com.cn/live/tv_jxtv1.m3u8
江西都市频道,http://116.162.6.191/yun-live.jxtvcn.com.cn/live/tv_jxtv2.m3u8
江西经济生活,http://116.162.6.191/yun-live.jxtvcn.com.cn/live/tv_jxtv3_hd.m3u8
江西影视旅游,http://116.162.6.191/yun-live.jxtvcn.com.cn/live/tv_jxtv4.m3u8
江西公共农业,http://116.162.6.191/yun-live.jxtvcn.com.cn/live/tv_jxtv5.m3u8
江西少儿,http://116.162.6.191/yun-live.jxtvcn.com.cn/live/tv_jxtv6.m3u8
江西新闻,http://116.162.6.191/yun-live.jxtvcn.com.cn/live/tv_jxtv7.m3u8
江西移动电视,http://116.162.6.191/yun-live.jxtvcn.com.cn/live/tv_jxtv8.m3u8
江西陶瓷,http://116.162.6.191/yun-live.jxtvcn.com.cn/live/tv_taoci.m3u8
风尚购物,http://116.162.6.191/yun-live.jxtvcn.com.cn/live/tv_fsgw.m3u8


江西卫视,rtsp://115.153.245.70/PLTV/88888888/224/3221226656/46275837.smil
江西都市,rtsp://115.153.245.70/PLTV/88888888/224/3221227069/94448631.smil
江西经济生活,rtsp://115.153.245.70/PLTV/88888888/224/3221226946/70055407.smil
江西影视旅游,rtsp://115.153.245.70/PLTV/88888888/224/3221227071/98779894.smil
江西公共农业,rtsp://115.153.245.70/PLTV/88888888/224/3221226708/53213097.smil
江西少儿,rtsp://115.153.245.70/PLTV/88888888/224/3221226938/68733921.smil
江西新闻,rtsp://115.153.245.70/PLTV/88888888/224/3221226650/53190437.smil
江西移动电视,rtsp://115.153.245.70/PLTV/88888888/224/3221227070/96801473.smil
风尚购物,rtsp://115.153.245.70/PLTV/88888888/224/3221227049/90141188.smil
江西教育,rtsp://115.153.245.70/PLTV/88888888/224/3221226942/69552502.smil


江西卫视,http://116.162.6.191/yun-live.jxtvcn.com.cn/live/tv_jxtv1.m3u8
江西都市,http://116.162.6.191/yun-live.jxtvcn.com.cn/live/tv_jxtv2.m3u8
江西经济生活,http://116.162.6.191/yun-live.jxtvcn.com.cn/live/tv_jxtv3_hd.m3u8
江西影视旅游,http://116.162.6.191/yun-live.jxtvcn.com.cn/live/tv_jxtv4.m3u8
江西公共农业,http://116.162.6.191/yun-live.jxtvcn.com.cn/live/tv_jxtv5.m3u8
江西少儿,http://116.162.6.191/yun-live.jxtvcn.com.cn/live/tv_jxtv6.m3u8
江西新闻,http://116.162.6.191/yun-live.jxtvcn.com.cn/live/tv_jxtv7.m3u8
江西移动电视,http://116.162.6.191/yun-live.jxtvcn.com.cn/live/tv_jxtv8.m3u8
风尚购物,http://116.162.6.191/yun-live.jxtvcn.com.cn/live/tv_fsgw.m3u8


江西卫视,http://116.162.6.192/yun-live.jxtvcn.com.cn/live/tv_jxtv1.m3u8
江西都市,http://116.162.6.192/yun-live.jxtvcn.com.cn/live/tv_jxtv2.m3u8
江西经济生活,http://116.162.6.192/yun-live.jxtvcn.com.cn/live/tv_jxtv3_hd.m3u8
江西影视旅游,http://116.162.6.192/yun-live.jxtvcn.com.cn/live/tv_jxtv4.m3u8
江西公共农业,http://116.162.6.192/yun-live.jxtvcn.com.cn/live/tv_jxtv5.m3u8
江西少儿,http://116.162.6.192/yun-live.jxtvcn.com.cn/live/tv_jxtv6.m3u8
江西新闻,http://116.162.6.192/yun-live.jxtvcn.com.cn/live/tv_jxtv7.m3u8
江西移动电视,http://116.162.6.192/yun-live.jxtvcn.com.cn/live/tv_jxtv8.m3u8
风尚购物,http://116.162.6.192/yun-live.jxtvcn.com.cn/live/tv_fsgw.m3u8


江西新闻,http://php.jdshipin.com:8880/TVOD/iptv.php?id=jxxw
江西都市,http://php.jdshipin.com:8880/TVOD/iptv.php?id=jxds
江西经济生活,http://php.jdshipin.com:8880/TVOD/iptv.php?id=jxjjsh
江西影视旅游,http://php.jdshipin.com:8880/TVOD/iptv.php?id=jxysly
江西公共农业,http://php.jdshipin.com:8880/TVOD/iptv.php?id=jxggny
江西少儿,http://php.jdshipin.com:8880/TVOD/iptv.php?id=jxse
陶瓷频道,http://php.jdshipin.com:8880/TVOD/iptv.php?id=taoci

江西卫视,http://php.jdshipin.com:8880/jxtv2.php?id=1
江西都市,http://php.jdshipin.com:8880/jxtv2.php?id=2
江西经济生活,http://php.jdshipin.com:8880/jxtv2.php?id=3
