http://ipv6.fzszyx.com:9672/188.txt

央视,#genre#
CCTV1综合,http://ipv6.fzszyx.com:9672/cqyx.php?id=cctv1
CCTV2财经,http://ipv6.fzszyx.com:9672/cqyx.php?id=cctv2
CCTV3综艺,http://ipv6.fzszyx.com:9672/cqyx.php?id=cctv3
CCTV4中文国际,http://ipv6.fzszyx.com:9672/cqyx.php?id=cctv4
CCTV5体育,http://ipv6.fzszyx.com:9672/cqyx.php?id=cctv5
CCTV5+体育赛事,http://ipv6.fzszyx.com:9672/cqyx.php?id=cctv5p
CCTV6电影,http://ipv6.fzszyx.com:9672/cqyx.php?id=cctv6
CCTV7国防军事,http://ipv6.fzszyx.com:9672/cqyx.php?id=cctv7
CCTV8电视剧,http://ipv6.fzszyx.com:9672/cqyx.php?id=cctv8
CCTV9纪录,http://ipv6.fzszyx.com:9672/cqyx.php?id=cctv9
CCTV10科教,http://ipv6.fzszyx.com:9672/cqyx.php?id=cctv10
CCTV11戏曲,http://ipv6.fzszyx.com:9672/cqyx.php?id=cctv11
CCTV12社会与法,http://ipv6.fzszyx.com:9672/cqyx.php?id=cctv12
CCTV13新闻,http://ipv6.fzszyx.com:9672/cqyx.php?id=cctv13
CCTV14少儿,http://ipv6.fzszyx.com:9672/cqyx.php?id=cctv14
CCTV15音乐,http://ipv6.fzszyx.com:9672/cqyx.php?id=cctv15
CCTV16奥林匹克,http://ipv6.fzszyx.com:9672/cqyx.php?id=cctv16
CCTV17农业农村,http://ipv6.fzszyx.com:9672/cqyx.php?id=cctv17
CCTV4K,http://ipv6.fzszyx.com:9672/cqyx.php?id=cctv4k
CCTV16[4K],http://ipv6.fzszyx.com:9672/cqyx.php?id=cctv16_4k
兵器科技,http://ipv6.fzszyx.com:9672/cqyx.php?id=bqkj
第一剧场,http://ipv6.fzszyx.com:9672/cqyx.php?id=dyjc
怀旧剧场,http://ipv6.fzszyx.com:9672/cqyx.php?id=hjjc
风云剧场,http://ipv6.fzszyx.com:9672/cqyx.php?id=fyjc
风云音乐,http://ipv6.fzszyx.com:9672/cqyx.php?id=fyyy
风云足球,http://ipv6.fzszyx.com:9672/cqyx.php?id=fyzq
央视文化精品,http://ipv6.fzszyx.com:9672/cqyx.php?id=whjp
女性时尚,http://ipv6.fzszyx.com:9672/cqyx.php?id=nxss
