江西频道,#genre#
江西卫视,http://iku.sunnyli.link:4144/udp/239.252.219.30:5140
江西卫视,http://iku.sunnyli.link:4144/udp/239.252.220.63:5140
江西都市,http://iku.sunnyli.link:4144/udp/239.252.220.109:5140
江西都市,http://iku.sunnyli.link:4144/udp/239.252.220.238:5140
江西经济生活,http://iku.sunnyli.link:4144/udp/239.252.219.173:5140
江西经济生活,http://iku.sunnyli.link:4144/udp/239.252.220.110:5140
江西影视旅游,http://iku.sunnyli.link:4144/udp/239.252.220.242:5140
江西公共农业,http://iku.sunnyli.link:4144/udp/239.252.220.102:5140
江西公共农业,http://iku.sunnyli.link:4144/udp/239.252.220.239:5140
江西少儿,http://iku.sunnyli.link:4144/udp/239.252.219.113:5140
江西少儿,http://iku.sunnyli.link:4144/udp/239.252.220.111:5140
江西新闻,http://iku.sunnyli.link:4144/udp/239.252.220.100:5140
江西新闻,http://iku.sunnyli.link:4144/udp/239.252.220.103:5140
江西移动电视,http://iku.sunnyli.link:4144/udp/239.252.220.241:5140
风尚购物,http://iku.sunnyli.link:4144/udp/239.252.219.101:5140
江西教育,http://iku.sunnyli.link:4144/udp/239.252.219.115:5140
江西教育,http://iku.sunnyli.link:4144/udp/239.252.219.147:5140
江西陶瓷,http://iku.sunnyli.link:4144/udp/239.252.220.243:5140
江西IPTV,http://iku.sunnyli.link:4144/udp/239.252.219.187:5140
江西IPTV广告,http://iku.sunnyli.link:4144/udp/239.252.219.188:5140

中央频道,#genre#
CCTV1,http://iku.sunnyli.link:4144/udp/239.252.219.10:5140
CCTV1,http://iku.sunnyli.link:4144/udp/239.252.219.200:5140
CCTV1,http://iku.sunnyli.link:4144/udp/239.252.219.215:5140
CCTV1,http://iku.sunnyli.link:4144/udp/239.252.219.220:5140
CCTV2,http://iku.sunnyli.link:4144/udp/239.252.219.11:5140
CCTV2,http://iku.sunnyli.link:4144/udp/239.252.220.183:5140
CCTV3,http://iku.sunnyli.link:4144/udp/239.252.219.252:5140
CCTV3,http://iku.sunnyli.link:4144/udp/239.252.220.66:5140
CCTV3,http://iku.sunnyli.link:4144/udp/239.252.220.193:5140
CCTV4,http://iku.sunnyli.link:4144/udp/239.252.219.12:5140
CCTV4,http://iku.sunnyli.link:4144/udp/239.252.220.184:5140
CCTV5,http://iku.sunnyli.link:4144/udp/239.252.219.198:5140
CCTV5,http://iku.sunnyli.link:4144/udp/239.252.219.236:5140
CCTV5,http://iku.sunnyli.link:4144/udp/239.252.220.67:5140
CCTV5+,http://iku.sunnyli.link:4144/udp/239.252.219.72:5140
CCTV6,http://iku.sunnyli.link:4144/udp/239.252.219.237:5140
CCTV6,http://iku.sunnyli.link:4144/udp/239.252.220.68:5140
CCTV6,http://iku.sunnyli.link:4144/udp/239.252.220.195:5140
CCTV7,http://iku.sunnyli.link:4144/udp/239.252.219.13:5140
CCTV7,http://iku.sunnyli.link:4144/udp/239.252.220.185:5140
CCTV8,http://iku.sunnyli.link:4144/udp/239.252.219.253:5140
CCTV8,http://iku.sunnyli.link:4144/udp/239.252.220.69:5140
CCTV8,http://iku.sunnyli.link:4144/udp/239.252.220.196:5140
CCTV8,http://iku.sunnyli.link:4144/udp/239.252.220.201:5140
CCTV9,http://iku.sunnyli.link:4144/udp/239.252.220.149:5140
CCTV9,http://iku.sunnyli.link:4144/udp/239.252.220.186:5140
CCTV10,http://iku.sunnyli.link:4144/udp/239.252.219.15:5140
CCTV10,http://iku.sunnyli.link:4144/udp/239.252.220.91:5140
CCTV11,http://iku.sunnyli.link:4144/udp/239.252.219.16:5140
CCTV11,http://iku.sunnyli.link:4144/udp/239.252.219.78:5140
CCTV12,http://iku.sunnyli.link:4144/udp/239.252.219.17:5140
CCTV12,http://iku.sunnyli.link:4144/udp/239.252.220.187:5140
CCTV13,http://iku.sunnyli.link:4144/udp/239.252.219.18:5140
CCTV13,http://iku.sunnyli.link:4144/udp/239.252.219.139:5140
CCTV14,http://iku.sunnyli.link:4144/udp/239.252.219.19:5140
CCTV14,http://iku.sunnyli.link:4144/udp/239.252.220.92:5140
CCTV15,http://iku.sunnyli.link:4144/udp/239.252.219.20:5140
CCTV15,http://iku.sunnyli.link:4144/udp/239.252.219.79:5140
CCTV16-4K,http://iku.sunnyli.link:4144/udp/239.252.220.237:5140
CCTV17,http://iku.sunnyli.link:4144/udp/239.252.220.191:5140
CCTV17,http://iku.sunnyli.link:4144/udp/239.252.220.192:5140
CCTV4K超高清,http://iku.sunnyli.link:4144/udp/239.252.220.244:5140
CCTV4美洲,http://iku.sunnyli.link:4144/udp/239.252.219.193:5140
CCTV4欧洲,http://iku.sunnyli.link:4144/udp/239.252.219.192:5140
CCTV兵器科技,http://iku.sunnyli.link:4144/udp/239.252.219.98:5140
CCTV第一剧场,http://iku.sunnyli.link:4144/udp/239.252.219.86:5140
CCTV风云剧场,http://iku.sunnyli.link:4144/udp/239.252.219.89:5140
CCTV风云音乐,http://iku.sunnyli.link:4144/udp/239.252.219.87:5140
CCTV风云足球,http://iku.sunnyli.link:4144/udp/239.252.219.96:5140
CCTV高尔夫·网球,http://iku.sunnyli.link:4144/udp/239.252.219.95:5140
CCTV怀旧剧场,http://iku.sunnyli.link:4144/udp/239.252.219.90:5140
CCTV女性时尚,http://iku.sunnyli.link:4144/udp/239.252.219.94:5140
CCTV世界地理,http://iku.sunnyli.link:4144/udp/239.252.219.93:5140
CCTV央视台球,http://iku.sunnyli.link:4144/udp/239.252.219.80:5140
CCTV央视网,http://iku.sunnyli.link:4144/udp/239.252.220.141:5140
CCTV央视网,http://iku.sunnyli.link:4144/udp/239.252.220.144:5140
CCTV央视网,http://iku.sunnyli.link:4144/udp/239.252.220.211:5140
CCTV央视指南,http://iku.sunnyli.link:4144/udp/239.252.219.97:5140
CCTV中央文化精品,http://iku.sunnyli.link:4144/udp/239.252.219.81:5140

卫视频道,#genre#
安徽卫视,http://iku.sunnyli.link:4144/udp/239.252.219.25:5140
安徽卫视,http://iku.sunnyli.link:4144/udp/239.252.220.83:5140
北京卫视,http://iku.sunnyli.link:4144/udp/239.252.219.21:5140
