江西频道,#genre#
江西卫视,http://113.195.172.192:808/hls/1/index.m3u8
江西卫视,http://gzly.hkychina.com:6001/udp/239.252.220.63:5140
江西卫视,http://59.52.130.24:9901/tsfile/live/65447_1.m3u8?key=txiptv&playlive=1&authid=0
江西都市,http://113.195.172.192:808/hls/2/index.m3u8
江西都市,http://gzly.hkychina.com:6001/udp/239.252.220.238:5140
江西都市,http://59.52.130.24:9901/tsfile/live/65448_1.m3u8?key=txiptv&playlive=1&authid=0
江西经济生活,http://113.195.172.192:808/hls/3/index.m3u8
江西经济生活,http://59.52.130.24:9901/tsfile/live/65449_1.m3u8?key=txiptv&playlive=1&authid=0
江西影视旅游,http://113.195.172.192:808/hls/4/index.m3u8
江西影视旅游,http://59.52.130.24:9901/tsfile/live/65450_1.m3u8?key=txiptv&playlive=1&authid=0
江西公共农业,http://113.195.172.192:808/hls/5/index.m3u8
江西公共农业,http://gzly.hkychina.com:6001/udp/239.252.220.102:5140
江西公共农业,http://59.52.130.24:9901/tsfile/live/65451_1.m3u8?key=txiptv&playlive=1&authid=0
江西少儿,http://113.195.172.192:808/hls/35/index.m3u8
江西少儿,http://gzly.hkychina.com:6001/udp/239.252.219.113:5140
江西少儿,http://59.52.130.24:9901/tsfile/live/65452_1.m3u8?key=txiptv&playlive=1&authid=0
江西新闻,http://113.195.172.192:808/hls/96/index.m3u8
江西新闻,http://59.52.130.24:9901/tsfile/live/65453_1.m3u8?key=txiptv&playlive=1&authid=0
江西移动电视,http://59.52.130.24:9901/tsfile/live/65454_1.m3u8?key=txiptv&playlive=1&authid=0
江西教育,http://59.52.130.24:9901/tsfile/live/65455_1.m3u8?key=txiptv&playlive=1&authid=0
南昌新闻综合,http://live.cooltv.top/tv/nctv.php?id=1
南昌文旅,http://live.cooltv.top/tv/nctv.php?id=2
南昌资讯,http://live.cooltv.top/tv/nctv.php?id=3
萍乡新闻综合,http://live02.jxtvcn.com.cn/live-jxtvcn/ganyun_px_xwzh.m3u8?
萍乡公共,http://live02.jxtvcn.com.cn/live-jxtvcn/ganyun_px_ggpd.m3u8?
赣州新闻综合,http://wb.jxgztv.com/live/gztv1.flv
赣州公共,http://wb.jxgztv.com/live/gztv2.flv
赣州教育,http://wb.jxgztv.com/live/gztv3.flv

江西卫视,rtsp://115.153.245.70/PLTV/88888888/224/3221226656/46275837.smil
江西都市,rtsp://115.153.245.70/PLTV/88888888/224/3221227069/94448631.smil
江西经济生活,rtsp://115.153.245.70/PLTV/88888888/224/3221226946/70055407.smil
江西影视旅游,rtsp://115.153.245.70/PLTV/88888888/224/3221227071/98779894.smil
江西公共农业,rtsp://115.153.245.70/PLTV/88888888/224/3221226708/53213097.smil
江西少儿,rtsp://115.153.245.70/PLTV/88888888/224/3221226938/68733921.smil
江西新闻,rtsp://115.153.245.70/PLTV/88888888/224/3221226650/53190437.smil
江西移动电视,rtsp://115.153.245.70/PLTV/88888888/224/3221227070/96801473.smil
风尚购物,rtsp://115.153.245.70/PLTV/88888888/224/3221227049/90141188.smil
江西教育,rtsp://115.153.245.70/PLTV/88888888/224/3221226942/69552502.smil


央视频道,#genre#
CCTV1,rtsp://115.153.245.70/PLTV/88888888/224/3221225699/iptv8040.smil
CCTV2,rtsp://115.153.245.70/PLTV/88888888/224/3221226825/59814584.smil
CCTV3,rtsp://115.153.245.70/PLTV/88888888/224/3221226930/65406412.smil
CCTV4,rtsp://115.153.245.70/PLTV/88888888/224/3221226838/59814684.smil
CCTV5,rtsp://115.153.245.70/PLTV/88888888/224/3221226907/65396401.smil
CCTV5+,rtsp://115.153.245.70/PLTV/88888888/224/3221226976/85722488.smil
CCTV6,rtsp://115.153.245.70/PLTV/88888888/224/3221226909/65396493.smil
CCTV7,rtsp://115.153.245.70/PLTV/88888888/224/3221226827/59814693.smil
CCTV8,rtsp://115.153.245.70/PLTV/88888888/224/3221226911/65406606.smil
CCTV9,rtsp://115.153.245.70/PLTV/88888888/224/3221226840/59814699.smil
